"region","drivmedel","månad","Antal"
"Riket","el","2013M02",26
"Riket","el","2013M03",29
"Riket","el","2013M04",24
"Riket","el","2013M05",24
"Riket","el","2013M06",26
"Riket","el","2013M07",5
"Riket","el","2013M08",26
"Riket","el","2013M09",44
"Riket","el","2013M10",80
"Riket","el","2013M11",56
"Riket","el","2013M12",69
"Riket","el","2014M01",67
"Riket","el","2014M02",59
"Riket","el","2014M03",117
"Riket","el","2014M04",65
"Riket","el","2014M05",73
"Riket","el","2014M06",91
"Riket","el","2014M07",144
"Riket","el","2014M08",286
"Riket","el","2014M09",78
"Riket","el","2014M10",86
"Riket","el","2014M11",63
"Riket","el","2014M12",137
"Riket","el","2015M01",78
"Riket","el","2015M02",101
"Riket","el","2015M03",357
"Riket","el","2015M04",286
"Riket","el","2015M05",322
"Riket","el","2015M06",328
"Riket","el","2015M07",256
"Riket","el","2015M08",260
"Riket","el","2015M09",220
"Riket","el","2015M10",202
"Riket","el","2015M11",184
"Riket","el","2015M12",322
"Riket","el","2016M01",133
"Riket","el","2016M02",157
"Riket","el","2016M03",407
"Riket","el","2016M04",294
"Riket","el","2016M05",191
"Riket","el","2016M06",219
"Riket","el","2016M07",107
"Riket","el","2016M08",153
"Riket","el","2016M09",419
"Riket","el","2016M10",212
"Riket","el","2016M11",248
"Riket","el","2016M12",453
"Riket","el","2017M01",260
"Riket","el","2017M02",228
"Riket","el","2017M03",579
"Riket","el","2017M04",396
"Riket","el","2017M05",400
"Riket","el","2017M06",429
"Riket","el","2017M07",220
"Riket","el","2017M08",413
"Riket","el","2017M09",491
"Riket","el","2017M10",382
"Riket","el","2017M11",268
"Riket","el","2017M12",293
"Riket","el","2018M01",191
"Riket","el","2018M02",324
"Riket","el","2018M03",749
"Riket","el","2018M04",377
"Riket","el","2018M05",293
"Riket","el","2018M06",337
"Riket","el","2018M07",533
"Riket","el","2018M08",565
"Riket","el","2018M09",667
"Riket","el","2018M10",806
"Riket","el","2018M11",1211
"Riket","el","2018M12",1094
"Riket","el","2019M01",1103
"Riket","el","2019M02",902
"Riket","el","2019M03",2107
"Riket","el","2019M04",1377
"Riket","el","2019M05",1255
"Riket","el","2019M06",1692
"Riket","el","2019M07",1083
"Riket","el","2019M08",971
"Riket","el","2019M09",1764
"Riket","el","2019M10",848
"Riket","el","2019M11",1062
"Riket","el","2019M12",1631
"Riket","el","2020M01",1268
"Riket","el","2020M02",1430
"Riket","el","2020M03",3015
"Riket","el","2020M04",1049
"Riket","el","2020M05",841
"Riket","el","2020M06",1706
"Riket","el","2020M07",1307
"Riket","el","2020M08",2120
"Riket","el","2020M09",3678
"Riket","el","2020M10",2345
"Riket","el","2020M11",2729
"Riket","el","2020M12",6609
"Riket","el","2021M01",1161
"Riket","el","2021M02",1416
"Riket","el","2021M03",2625
"Riket","el","2021M04",4888
"Riket","el","2021M05",3972
"Riket","el","2021M06",8706
"Riket","el","2021M07",2556
"Riket","el","2021M08",4806
"Riket","el","2021M09",7486
"Riket","el","2021M10",4634
"Riket","el","2021M11",5549
"Riket","el","2021M12",10082
"Riket","el","2022M01",5221
"Riket","el","2022M02",5491
"Riket","el","2022M03",9254
"Riket","el","2022M04",5500
"Riket","el","2022M05",6529
"Riket","el","2022M06",8365
"Riket","el","2022M07",4792
"Riket","el","2022M08",5927
"Riket","el","2022M09",7871
"Riket","el","2022M10",8036
"Riket","el","2022M11",10970
"Riket","el","2022M12",18207
"Riket","el","2023M01",4333
"Riket","el","2023M02",6212
"Riket","el","2023M03",12644
"Riket","el","2023M04",6983
"Riket","el","2023M05",11696
"Riket","el","2023M06",11005
"Riket","el","2023M07",6528
"Riket","el","2023M08",9832
"Riket","el","2023M09",12552
"Riket","el","2023M10",9454
"Riket","el","2023M11",10128
"Riket","el","2023M12",11408
"Riket","el","2024M01",5068
"Riket","el","2024M02",5244
"Riket","el","2024M03",8381
"Riket","el","2024M04",6845
"Riket","el","2024M05",7648
"Riket","el","2024M06",9135
"Riket","el","2024M07",5530
"Riket","el","2024M08",6819
"Riket","el","2024M09",11566
"Riket","el","2024M10",8819
"Riket","el","2024M11",9050
"Riket","el","2024M12",10734
"Riket","el","2025M01",5722
"Riket","el","2025M02",6928
"Riket","el","2025M03",8435
"Riket","elhybrid","2006M01",216
"Riket","elhybrid","2006M02",163
"Riket","elhybrid","2006M03",214
"Riket","elhybrid","2006M04",239
"Riket","elhybrid","2006M05",260
"Riket","elhybrid","2006M06",307
"Riket","elhybrid","2006M07",224
"Riket","elhybrid","2006M08",277
"Riket","elhybrid","2006M09",293
"Riket","elhybrid","2006M10",166
"Riket","elhybrid","2006M11",256
"Riket","elhybrid","2006M12",236
"Riket","elhybrid","2007M01",287
"Riket","elhybrid","2007M02",243
"Riket","elhybrid","2007M03",280
"Riket","elhybrid","2007M04",286
"Riket","elhybrid","2007M05",351
"Riket","elhybrid","2007M06",313
"Riket","elhybrid","2007M07",256
"Riket","elhybrid","2007M08",319
"Riket","elhybrid","2007M09",255
"Riket","elhybrid","2007M10",243
"Riket","elhybrid","2007M11",261
"Riket","elhybrid","2007M12",300
"Riket","elhybrid","2008M01",307
"Riket","elhybrid","2008M02",363
"Riket","elhybrid","2008M03",316
"Riket","elhybrid","2008M04",451
"Riket","elhybrid","2008M05",435
"Riket","elhybrid","2008M06",340
"Riket","elhybrid","2008M07",297
"Riket","elhybrid","2008M08",352
"Riket","elhybrid","2008M09",376
"Riket","elhybrid","2008M10",307
"Riket","elhybrid","2008M11",279
"Riket","elhybrid","2008M12",423
"Riket","elhybrid","2009M01",148
"Riket","elhybrid","2009M02",127
"Riket","elhybrid","2009M03",143
"Riket","elhybrid","2009M04",184
"Riket","elhybrid","2009M05",155
"Riket","elhybrid","2009M06",261
"Riket","elhybrid","2009M07",148
"Riket","elhybrid","2009M08",279
"Riket","elhybrid","2009M09",514
"Riket","elhybrid","2009M10",456
"Riket","elhybrid","2009M11",358
"Riket","elhybrid","2009M12",312
"Riket","elhybrid","2010M01",281
"Riket","elhybrid","2010M02",258
"Riket","elhybrid","2010M03",438
"Riket","elhybrid","2010M04",334
"Riket","elhybrid","2010M05",325
"Riket","elhybrid","2010M06",273
"Riket","elhybrid","2010M07",152
"Riket","elhybrid","2010M08",277
"Riket","elhybrid","2010M09",363
"Riket","elhybrid","2010M10",366
"Riket","elhybrid","2010M11",353
"Riket","elhybrid","2010M12",300
"Riket","elhybrid","2011M01",238
"Riket","elhybrid","2011M02",250
"Riket","elhybrid","2011M03",374
"Riket","elhybrid","2011M04",336
"Riket","elhybrid","2011M05",300
"Riket","elhybrid","2011M06",194
"Riket","elhybrid","2011M07",121
"Riket","elhybrid","2011M08",257
"Riket","elhybrid","2011M09",245
"Riket","elhybrid","2011M10",177
"Riket","elhybrid","2011M11",256
"Riket","elhybrid","2011M12",179
"Riket","elhybrid","2012M01",109
"Riket","elhybrid","2012M02",119
